#0368,Äåªá³½,Gorebyss
#0369,¥jªÅ´Æ³½,Relicanth
#0370,·R¤ß³½,Luvdisc
#0371,Ä_¨©Às,Bagon
#0372,¥Ò´ßÀs,Shelgon
#0373,¼É­¸Às,Salamence
#0374,ÅK°×¹a,Beldum
#0375,ª÷ÄÝ©Ç,Metang
#0376,¥¨ª÷©Ç,Metagross
#0377,¹p¦N¬¥§J,Regirock
#0378,¹p¦N¦ã´µ,Regice
#0379,¹p¦N´µ©_¾|,Registeel
#0380,©Ô«Ò¨È´µ,Latias
#0381,©Ô«Ò¼Ú´µ,Latios
#0382,»\¼Ú¥d,Kyogre
#0383,©T©Ô¦h,Groudon
#0384,¯PªÅ§¤,Rayquaza
#0385,°ò©Ô¬è,Jirachi
#0386,¥N¼Ú©_§Æ´µ,Deoxys
10001,,Deoxys
10002,,Deoxys
10003,,Deoxys
²Ä¥|¥@¥NÄ_¥i¹Ú,,
½s¸¹,Ä_¥i¹Ú,
,¤¤¤å,­^¤å
#0387,¯ó­]Àt,Turtwig
#0388,¾ðªLÀt,Grotle
#0389,¤g¥xÀt,Torterra
#0390,¤p¤õµKµU,Chimchar
#0391,²r¤õµU,Monferno
#0392,¯PµKµU,Infernape
#0393,ªi¥[°Ò,Piplup
#0394,ªi¬Ó¤l,Prinplup
#0395,«Ò¤ý®³ªi,Empoleon
#0396,©i§J¨à,Starly
#0397,©i§J³¾,Staravia
#0398,©i§JÆN,Staraptor
#0399,¤j¤ú¯W,Bidoof
#0400,¤j§À¯W,Bibarel
#0401,¶êªk®v,Kricketot
#0402,­µ½cÁ¬,Kricketune
#0403,¤p¿ß©Ç,Shinx
#0404,°Ç§J¿ß,Luxio
#0405,­Ûµ^¿ß,Luxray
#0406,§t²Û­c,Budew
#0407,Ã¹µ·¹p¦·,Roserade
#0408,ÀY»\Às,Cranidos
#0409,¾ÔºlÀs,Rampardos
#0410,¬Þ¥ÒÀs,Shieldon
#0411,Å@«°Às,Bastiodon
#0412,µ²¯ó¨à,Burmy
#0413,µ²¯ó¶Q°ü,Wormadam
10004,,Wormadam
10005,,Wormadam
#0414,²Ô¤h¸¿,Mothim
#0415,¤T»e¸Á,Combee
#0416,¸Á¤k¤ý,Vespiquen
#0417,©¬©_§Q¯÷,Pachirisu
#0418,ªa°éÃ^,Buizel
#0419,¯B¼çÃ^,Floatzel
#0420,ÄåªáÄ_,Cherubi
#0421,Äåªá¨à,Cherrim
10318,,Cherrim
#0422,µL´ß®ü¨ß,Shellos
10319,,Shellos
#0423,®ü¨ßÃ~,Gastrodon
10320,,Gastrodon
#0424,Âù§À©Ç¤â,Ambipom
#0425,ÄÆÄÆ²y,Drifloon
#0426,ÀH­·²y,Drifblim
#0427,±²±²¦Õ,Buneary
#0428,ªø¦Õ¨ß,Lopunny
#0429,¹Ú§¯Å],Mismagius
#0430,¯Q¾~ÀYÀY,Honchkrow
#0431,¾y¤OØp,Glameow
#0432,ªF¬IØp,Purugly
#0433,¹aÅLÅT,Chingling
#0434,¯äÃ^¼P,Stunky
#0435,©Z§J¯äÃ^,Skuntank
#0436,»ÉÃè©Ç,Bronzor
#0437,«C»ÉÄÁ,Bronzong
#0438,¬Ö¤~©Ç,Bonsly
#0439,Å]¥§¥§*,Mime Jr.
#0440,¤pºÖ³J,Happiny
#0441,µÁ¾¸³¾,Chatot
#0442,ªá©¥©Ç,Spiritomb
#0443,¶ê³°ÃT,Gible
#0444,¦y¤ú³°ÃT,Gabite
#0445,¯P«r³°ÃT,Garchomp
#0446,¤p¥d¤ñÃ~,Munchlax
#0447,§Q¼Ú¸ô,Riolu
#0448,¸ô¥d§Q¼Ú,Lucario
#0449,¨Fªe°¨,Hippopotas
#0450,ªe°¨Ã~,Hippowdon
#0451,¹X§ÀÃÈ,Skorupi
#0452,Às¤ýÃÈ,Drapion
#0453,¤£¨}µì,Croagunk
#0454,¬r¾uµì,Toxicroak
#0455,¦y¤úÅ¢,Carnivine
#0456,¿Ã¥ú³½,Finneon
#0457,ÀO­i³½,Lumineon
#0458,¤p²y­¸³½,Mantyke
#0459,³·²Á©Ç,Snover
#0460,¼É³·¤ý,Abomasnow
#0461,º¿Ëc©Ô,Weavile
#0462,¦ÛÃzºÏ©Ç,Magnezone
#0463,¤j¦Þ»Q,Lickilicky
#0464,¶W¥Ò¨gµR,Rhyperior
#0465,¥¨½¯ÃÃ,Tangrowth
#0466,¹qÀ»Å]Ã~,Electivire
#0467,Àn¼Lª¢Ã~,Magmortar
#0468,ªi§J°ò´µ*,Togekiss
#0469,»·¥j¥¨¸»,Yanmega
#0470,¸­¥ì¥¬,Leafeon
#0471,¦B¥ì¥¬,Glaceon
#0472,¤ÑÃÈ¤ý,Gliscor
#0473,¶H¤ú½Þ,Mamoswine
#0474,¦hÃäÃ~¢è,Porygon-Z
#0475,¦ã¸ô¹p¦·,Gallade
#0476,¤j´Â¥_»ó,Probopass
#0477,¶Â©]Å]ÆF,Dusknoir
#0478,³·§¯¤k,Froslass
#0479,¬¥¦«©i,Rotom
10008,,Rotom
10009,,Rotom
10010,,Rotom
10011,,Rotom
10012,,Rotom
20006,,Rotom
20007,,Rotom
20008,,Rotom
#0480,¥Ñ§J§Æ,Uxie
#0481,¦ã©i§Q¦h,Mesprit
#0482,¨È§J¿Õ©i,Azelf
#0483,«Ò¤ú¿c¥d,Dialga
10238,,Dialga
#0484,©¬¸ô©_¨È,Palkia
10237,,Palkia
#0485,®u¦hÂÅ®¦,Heatran
#0486,¹p¦N©_¥d´µ,Regigigas
#0487,ÃM©Ô«Ò¯Ç,Giratina
10007,,Giratina
#0488,§J¹p¦â§Q¨È,Cresselia
#0489,ÀP¼Ú¯Ç,Phione
#0490,º¿¯ÇÀP,Manaphy
#0491,¹F§JµÜ¥ì,Darkrai
#0492,ÁÂ¦Ì,Shaymin
10006,,Shaymin
#0493,ªüº¸©z´µ,Arceus
10347,,Arceus
10348,,Arceus
10349,,Arceus
10350,,Arceus
10351,,Arceus
10352,,Arceus
10353,,Arceus
10354,,Arceus
10355,,Arceus
10356,,Arceus
10357,,Arceus
10358,,Arceus
10359,,Arceus
10360,,Arceus
10361,,Arceus
10362,,Arceus
10363,,Arceus
²Ä¤­¥@¥NÄ_¥i¹Ú,,Arceus
½s¸¹,Ä_¥i¹Ú,Arceus
,¤¤¤å,­^¤å
#0494,¤ñ§J´£¥§,Victini
#0495,ÃÃÃÃ³D,Snivy
#0496,«CÃÃ³D,Servine
#0497,§g¥D³D,Serperior
#0498,·x·x½Þ,Tepig
#0499,ª£ª£½Þ,Pignite
#0500,ª¢ªZ¤ý,Emboar
#0501,¤ô¤ôÃ¡,Oshawott
#0502,Âù¤b¤Y,Dewott
#0503,¤j¼C°­,Samurott
#0503,¤j¼C°­,Samurott
10228,¬~»Aªº¼Ë¤l,Samurott
#0504,±´±´¹«,Patrat
#0505,¨B­ï¹«,Watchog
#0506,¤p¬ù§J,Lillipup
#0507,«¢¬ù§J,Herdier
#0508,ªø¤òª¯,Stoutland
#0509,¥¶¤â¿ß,Purrloin
#0510,»Å°\,Liepard
#0511,ªá·¦µU,Pansage
#0512,ªá·¦·á,Simisage
